product_id,composition,detail,fabric,fit,print,style
07addaf5-2fc6-48fe-b336-5dfd46a0472a,polyester,zippers,faux_leather,0,smooth,boho
07bc3e6d-20ee-41d3-89e7-e95f2c15204b,polyester,lurex_thread,artificial,loose,floral,boho
07c9a753-2d46-40d2-9328-ec631623a982,modal,0,cotton_tshirt,straight,smooth,casual
07d89748-dce3-47c0-a247-8a981e52f7cd,polyester,belt_loop,suede_leather,straight,smooth,street
07e2cedc-f2ab-468a-b2a6-50c4bbd3b8d4,cotton,0,thread,0,horizontal_stripes,boho
080e801a-685c-41e3-9147-897e7664b379,acrylic,0,jersey,loose,horizontal_stripes,casual
081ea696-2899-4668-a100-d738ba4f1de7,polyester,lateral_pocket,twill,straight,smooth,classic
0826dca6-36cf-4ec3-980a-7c1ac814741b,viscose,lace_edging,crepe,straight,smooth,boho
087cb5bc-733c-4c94-8a60-1efa412ee8f7,modal,belt_loop,thread,loose,sheets,boho
0889f291-a33d-4c22-a124-5881d0ce0a85,viscose,waist_band,popeline,loose,floral,classic
088cf6b1-b7d8-414b-a707-b324582d9f73,cotton,fake_pocket,chiffon,loose,vertical_stripes,boho
089fc0c1-a9ef-4e74-9628-0f664f325dc8,lyocell,button,denim,straight,smooth,street
08a1dad1-2c35-4062-8a88-4c96fa50fdd3,polyester,zippered_pocket,suede_leather,straight,smooth,street
08a815dc-5358-4d12-897f-5f22e1a44ad3,polyester,lurex_thread,chiffon,straight,floral,boho
08cb7765-3a99-4b40-a006-bed00a49f6fa,leather,interior_pocket,leather,0,smooth,minimal
08d89d4a-f7eb-4fcf-af87-ffbe16f77394,polyester,0,chiffon,loose,printed,boho
08e64afc-5c3a-4def-ac28-ec2f8843e4c1,polyester,cordoned_off,suede_leather,tight,smooth,boho
091d2f28-d075-48bd-8053-84d226bd3338,viscose,belt_loop,twill,tight,smooth,classic
092137a5-fad7-4d07-bce3-3f494be6bda2,polyester,buttonhole_pocket,cotton_batting,straight,smooth,classic
092f3264-e068-46ea-9387-cae1552d493e,viscose,pocket_flap,mixed,straight,smooth,casual
0940bccc-943f-4a9a-97f8-aed7ad7856d3,acrylic,button,jersey,loose,smooth,boho
09435c48-b1a2-4100-b76f-6353dbb820a3,cotton,sparkly,cotton_tshirt,straight,smooth,street
0972cc28-e076-454d-a597-fdd853d7a9ac,acrylic,plaston_pocket,jersey,straight,horizontal_stripes,boho
0976f186-9b3f-425d-a1a6-33aa309557ed,viscose,hemstitch,feathers,loose,smooth,classic
097c67b6-ea1a-48fc-94c0-5b650aab2329,cotton,five_pockets,denim,tight,smooth,street
09938e60-ab2a-4f5f-9f4c-acb45e07d006,acrylic,0,jersey,straight,horizontal_stripes,casual
09d0f367-a395-4607-8ff1-57b7cbd4f3ff,cotton,writing,cotton_tshirt,straight,smooth,casual
0a00f5c9-aef3-4e0d-afea-8962a2138e3a,acrylic,pocket,jersey,straight,smooth,boho
0a2e1d54-741d-4dc9-a08b-ec97429d874c,viscose,plaston_pocket,jersey,straight,smooth,minimal
0a30721e-1c07-4bc6-a7d2-35cbb8e1fb05,polyester,ruffles,synthetic,straight,smooth,classic
0a56a571-1c34-4e06-b178-9cb1badbd035,polyester,lateral_opening,crepe,straight,smooth,classic
0a58fa98-c5f4-4486-b6b2-edfe541bda8c,viscose,0,synthetic,tight,smooth,night
0a700f4b-2d27-41d7-853a-b3e3fbfcd048,polyester,placket_pocket,gabardine,loose,smooth,casual
0a7274a3-27dd-4d6b-89d0-69689772b903,cotton,placket_pocket,twill,tight,smooth,street
0a843a05-028e-47e1-9fb3-5eb9d1f4fd99,modal,lateral_pocket,batiste,straight,animal_print,boho
0a90b0c7-5436-4bc5-a12f-92b7e0f5aca7,cotton,lateral_pocket,twill,straight,vertical_stripes,street
0a936b26-f806-4f9e-a38f-96b009616ad1,viscose,pucker,cotton_batting,tight,smooth,minimal
0a998100-6537-4191-a9a6-771623ca4db0,modal,button,thread,tight,printed,boho
0aba39d9-0112-44fa-8969-57d0b3db7bd7,rayon,lateral_opening,popeline,straight,floral,classic
